fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
12067,2015-08-18,7.34,101.47,18.85,27.54,24.29,24.29,30.84,24.58,6.26,27.82,1.55,2.0,0.97,1.03,2.2,3.0,1.41,1.59
26017,2011-05-31,3.72,99.39,14.42,21.86,19.59,19.59,26.29,17.03,9.26,19.96,6.42,8.97,3.51,5.46,9.63,13.92,5.42,8.5
47179,2016-06-21,7.66,93.67,12.92,23.02,16.85,16.85,30.14,16.94,13.2,23.14,2.39,3.29,1.48,1.8,4.91,6.19,2.65,3.54
35021,2010-03-02,0.0,85.57,3.23,5.24,-4.25,-4.18,14.13,-3.01,17.14,6.32,2.71,3.53,1.45,2.08,4.28,6.59,1.95,4.64
48087,2016-09-06,1.54,94.42,15.24,27.66,19.68,19.68,33.28,21.89,11.39,28.33,6.5,8.13,3.95,4.18,8.98,10.89,6.33,4.56
38023,2011-05-10,31.42,92.99,5.6,5.73,4.24,4.24,8.89,1.58,7.31,6.04,9.11,11.35,6.79,4.56,11.27,13.78,9.02,4.77
12009,2008-10-14,0.61,101.77,15.14,25.04,20.79,20.79,26.97,23.18,3.79,24.66,6.85,8.0,5.21,2.79,9.46,10.86,8.35,2.51
20131,2010-09-28,0.0,96.75,8.77,17.4,11.47,11.47,23.46,11.53,11.93,16.81,4.33,6.37,1.44,4.94,6.18,10.19,2.07,8.12
5095,2014-06-24,5.81,100.65,15.75,25.59,21.22,21.22,30.1,22.48,7.62,25.57,3.93,5.58,2.14,3.44,5.63,7.42,3.95,3.47
40083,2013-04-16,0.05,97.49,7.95,13.45,9.72,9.72,19.46,8.85,10.61,14.81,4.02,5.47,2.09,3.38,4.62,6.89,2.9,3.99
